Model,Total Parameters,Training Time (s),Inference Time per Image (s),Inference Memory per Batch (MB),Average Localization Error in Test (m),Average Orientation Error in Test (°),Average Localization Error in Real(m),Average Orientation Error in Real (°)
PVT,20571337,31100.5077,0.0018,382.5088,4.4879,36.3354,0.9619,10.688
UNet,31042633,35464.4644,0.0052,1658.7476,2.7642,25.133,4.7363,50.6642
ResNet,13431370,15953.8597,0.0011,394.6426,3.3718,28.1993,5.1338,52.9801
ConvNext,2445233,16117.9799,0.001,140.3022,2.6736,22.1869,0.7733,9.877
ViT,118920074,39196.5722,0.0006,1090.4126,6.4884,56.6336,5.346,54.6397
PVT_m,20571337,29791.2833,0.0018,382.5088,8.7937,72.311,3.0643,24.9699
ConvNext_v,2445233,14319.7718,0.001,141.1772,1.819,15.6129,1.6189,20.0667
PVT_v,20571337,28162.8785,0.0018,382.5088,4.1419,37.3258,0.9523,12.597
UNet_v,31042633,32827.0479,0.0052,1656.7476,1.5477,11.5078,2.864,32.7897
ResNet_v,13431370,14962.8179,0.0011,394.6426,2.0139,15.1011,4.5621,49.0826
PVT_v_1,20571337,28162.5249,0.0018,382.5088,2.4283,19.9648,1.9393,21.2211
PVT_r,20571337,,0.0018,3935.9868,3.2286,27.7546,0.8862,11.2634
ConvNext_r,2445233,15685.0750,0.0010,140.8022,2.0030,14.6808,0.7974,10.7512
ViT_v,118920074,34366.0198,0.0006,1086.8271,2.6589,23.4266,2.6650,25.7409
